,EpisodeCount,InstanceUUID,StepCount,Time,Content[0],Content[1],Content[2],Content[3],Content[4],Content[5],Content[6],Content[7],Content[8],Content[9],Content[10],Content[11],Content[12],Content[13],Content[14],Content[15],Content[16],Content[17],Content[18],Content[19],Result[0],Method,Target_WinRate,Error_WinRate
30163,20,f0af5c27-7d6e-4f63-bc20-f8223b2a1248,40,2023-05-16 15:48:54.511,0,4,1,1,10,0,1,12.97061,0.521423,0.9868571,1,1,1,0,0,0.7810836,0,0,1,0,0.2266667,Heuristic,0.3,0.0733332999999999
30198,59,f0af5c27-7d6e-4f63-bc20-f8223b2a1248,40,2023-05-17 02:16:47.642,0,6,1,1,10,0,1,12.63988,0.5519339,1.069534,1,1,1,0,0,0.884515,0,0,1,0,0.2933333,Heuristic,0.3,0.0066666999999999
30203,57,f0af5c27-7d6e-4f63-bc20-f8223b2a1248,40,2023-05-17 01:46:42.077,0,9,1,1,10,0,1,18.41667,0.5313962,1.049711,1,1,1,0,0,0.6225628,0,0,1,0,0.3289036,Heuristic,0.3,0.0289036
30437,54,68588c17-7f39-4083-8d96-81758430680c,40,2023-05-17 01:35:01.323,0,5,1,1,10,0,1,5.653596,0.5,0.5833333,1,1,1,0,0,0.6150103,0,0,1,0,0.2533333,Heuristic,0.3,0.0466667
30378,9,4228ae3d-29e4-44ad-a075-3a8c09069a5f,40,2023-05-16 13:01:00.967,0,5,1,1,10,0,1,17.8484,0.5736155,0.8514355,1,1,1,0,0,0.5416667,0,0,1,0,0.3566667,Heuristic,0.3,0.0566667
30478,39,68588c17-7f39-4083-8d96-81758430680c,40,2023-05-16 21:23:28.116,0,5,1,1,10,0,1,17.77529,0.5852927,1.5,1,1,1,0,0,0.9257348,0,0,1,0,0.5166667,Heuristic,0.3,0.2166667
30078,45,f3e5950d-c56f-47d6-ac77-a440c667f3d5,40,2023-05-16 23:10:02.343,0,2,1,1,10,0,1,12.40695,0.5179384,0.7292565,1,1,1,0,0,0.651561,0,0,1,0,0.5366667,Heuristic,0.3,0.2366667
30161,22,f0af5c27-7d6e-4f63-bc20-f8223b2a1248,40,2023-05-16 16:22:18.023,0,0,1,1,10,0,1,20.0,0.5906134,1.107031,1,1,1,0,0,0.6327548,0,0,1,0,0.26,Heuristic,0.3,0.0399999999999999
30992,5,38ff55f2-0030-4dcc-9ed4-11cad87f8228,40,2023-05-16 12:26:22.610,0,9,1,1,10,0,1,5.857481,0.5409277,0.667172,1,1,1,0,0,0.8196775,0,0,1,0,0.5833333,Heuristic,0.3,0.2833333
30276,12,4cf5f922-1b0f-41f9-b85f-ff97f18066c1,40,2023-05-16 14:05:26.378,0,6,1,1,10,0,1,2.652079,0.5208967,0.5,1,1,1,0,0,0.9331543,0,0,1,0,0.27,Heuristic,0.3,0.0299999999999999
